,Name,Photo,Birds,Bees,Butterflies,Hedgehogs,Squirrels
105,Duizendknoop-Persicaria-affinis-Darjeeling-Red,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Duizendknoop-Persicaria-affinis-Darjeeling-Red.jpg']",Ja,Ja,Ja,,
106,Duizendknoop-Persicaria-affinis-Donald-Lowndes,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1291_src.jpg']",Ja,,,,
107,Duizendknoop-Persicaria-affinis-Superba,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3543_src.jpg']",Ja,,,,
108,Duizendknoop-Persicaria-amplex-September-Spires,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3775_src.jpg']",Ja,,,,
109,Duizendknoop-Persicaria-amplexicaulis,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Duizendknoop-rood-vaste-planten-zon-border.png']",Ja,,,,
110,Duizendknoop-Persicaria-amplexicaulis-Alba,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1468_src.jpg']",Ja,,,,
111,Duizendknoop-Persicaria-amplexicaulis-Firedance,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Persicaria-Duizendknoop.jpg']",Ja,,,,
112,Duizendknoop-Persicaria-amplexicaulis-Inverleith,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3629_src.jpg']",Ja,,,,
113,Duizendknoop-Persicaria-amplexicaulis-Rosea,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_323_src.jpg']",Ja,,,,
114,Duizendknoop-Persicaria-amplexicaulis-Speciosa,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_639_src.jpg']",Ja,,,,
115,Duizendknoop-Persicaria-bistorta-Superba,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Persicaria-roze.jpg']",Ja,,,,
116,duizendknoop-persicaria-filiformis-painter-s-palette/,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1606_src.jpg']",Ja,,,,
117,Duizendknoop-Persicaria-filiformis-Variegata,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Schermafbeelding-2020-04-07-om-11.54.56.png']",,Ja,Ja,,
118,Duizendknoop-Persicaria-microcephala-Jade-Dragon,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3506_src.jpg']",Ja,,,,
119,Duizendknoop-Persicaria-paniculata,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1039_src.jpg']",Ja,,,,
120,Duizendknoop-Persicaria-polymorpha,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3891_src.jpg']",Ja,,,,
121,Duizendknoop-Persicaria-tenuicaulis,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2249_src.jpg']",Ja,,,,
122,Duizendknoop-Persicaria-vivipara,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_242_src.jpg']",Ja,,,,
123,Dwergberk-Betula-nana,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1195_src.jpg']",Ja,,,,
124,Dwergmispel-Cotoneaster-atropurpureus-Variegata,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Cotoneaster-atropurpureus-Variegata.jpg']",,,,Ja,
125,Echte-guldenroede-Solidago-virgaurea,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Solidago-kopie_2.jpg']",Ja,Ja,Ja,,
126,Echte-salie-Salvia-Officinalis,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Echte-salie-Salvia-Officinalis_Easy-Resize.com.jpg']",,Ja,Ja,,
127,Echte-salie-Salvia-officinalis-Albiflora,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2160_src.jpg']",,Ja,Ja,,
128,Echte-salie-Salvia-officinalis-Icterina,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1319_src.jpg']",,Ja,Ja,,
129,Echte-salie-Salvia-officinalis-Purpurascens,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/tempFileForShare_20200604-104011.jpg']",,Ja,Ja,,
130,Egelzonnehoed-Echinacea-pallida,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Schermafbeelding-2021-10-05-om-18.11.35.png']",,Ja,Ja,,
131,Engels-Gras-Armeria-maritima-Alba,"[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Armeria-maritima-'Alba'.png""]",Ja,,,,
132,Engels-Gras-Armeria-maritima-Dusseldorfer-Stolz,['https://cdn.zilvercms.nl/q80/http://yarinde.zilvercdn.nl/uploads/photo/img-fallback-image.png'],Ja,,,,
133,Engels-Gras-Armeria-maritima-Rosea,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3363_src.jpg']",Ja,,,,
134,Engels-Gras-Armeria-maritima-Splendens-Perfecta,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/20210827_121559.jpg']",Ja,,,,
